family,n,p,weight,algo,ws_beta,comm_ratio,grid_side,median_cpu_sec,n_samples,rank
WS,120,0.06,uniform_1_9,A*,0.01,,,0.0004388745001051575,1000,4
WS,120,0.06,uniform_1_9,BI_DIJKSTRA,0.05,,,0.00016752100054873154,1000,1
WS,120,0.06,uniform_1_9,ALT,0.05,,,0.0001923335003084503,1000,2
WS,120,0.06,uniform_1_9,DIJKSTRA,0.05,,,0.00042187500366708264,1000,3
WS,120,0.06,uniform_1_9,A*,0.05,,,0.0004277714979252778,1000,4
WS,120,0.06,uniform_1_9,BI_DIJKSTRA,0.1,,,0.00014766649837838486,1000,1
WS,120,0.06,uniform_1_9,ALT,0.1,,,0.00018245799947180785,1000,2
WS,120,0.06,uniform_1_9,A*,0.1,,,0.0004103544997633435,1000,3
WS,120,0.06,uniform_1_9,DIJKSTRA,0.1,,,0.0004212499989080243,1000,4
WS,120,0.06,uniform_1_9,BI_DIJKSTRA,0.3,,,0.00011127100151497871,1000,1
WS,120,0.06,uniform_1_9,ALT,0.3,,,0.0002059580001514405,1000,2
WS,120,0.06,uniform_1_9,A*,0.3,,,0.0004086875014763791,1000,3
WS,120,0.06,uniform_1_9,DIJKSTRA,0.3,,,0.00042064599983859807,1000,4
WS,120,0.1,uniform_1_9,ALT,0.01,,,0.00028485399889177643,1000,1
WS,120,0.1,uniform_1_9,BI_DIJKSTRA,0.01,,,0.0003478544967947528,1000,2
WS,120,0.1,uniform_1_9,A*,0.01,,,0.0005640415001835208,1000,3
WS,120,0.1,uniform_1_9,DIJKSTRA,0.01,,,0.0005717709973396268,1000,4
WS,120,0.1,uniform_1_9,BI_DIJKSTRA,0.05,,,0.00022112499937065877,1000,1
WS,120,0.1,uniform_1_9,ALT,0.05,,,0.0002656459982972592,1000,2
WS,120,0.1,uniform_1_9,A*,0.05,,,0.0005108750010549556,1000,3
WS,120,0.1,uniform_1_9,DIJKSTRA,0.05,,,0.0005593545029114466,1000,4
WS,120,0.1,uniform_1_9,BI_DIJKSTRA,0.1,,,0.0001955205007106997,1000,1
WS,120,0.1,uniform_1_9,ALT,0.1,,,0.0002583539971965365,1000,2
WS,120,0.1,uniform_1_9,A*,0.1,,,0.0005196040037844796,1000,3
WS,120,0.1,uniform_1_9,DIJKSTRA,0.1,,,0.0005937290006841067,1000,4
